#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-08 14:28:16.588
#Start: 10 Hz
#Stop: 22050 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000001,-0.01602914709588703,-1.36385772055535,-151.7991764719388
10.26081762452716,-0.01609022728320423,-1.301028227968831,-152.5570369022527
10.5284378323807,-0.01604548516693678,-1.241010165800344,-153.2973308399807
10.80303804692303,-0.01639741867347949,-1.183511242541743,-154.035297437388
11.08480031903051,-0.01621521969212639,-1.128710080889515,-154.7635700529159
11.37391144778724,-0.01607653910306755,-1.075447591963053,-155.4844096123731
11.67056310432663,-0.01575697660582963,-1.024381654437821,-156.2071667262614
11.97495195890309,-0.01620337485302953,-0.9751043142132072,-156.916799842152
12.28727981127788,-0.01605466566112636,-0.9280030804367447,-157.6198358546252
12.60775372450566,-0.01596025263984976,-0.8827237768489671,-158.3241500736752
12.93658616221055,-0.01598036767756079,-0.8390870558818508,-159.0173600038517
13.2739951294424,-0.01605032038450997,-0.7969797805411243,-159.704374264602
13.62020431720701,-0.01611750408428687,-0.7571005822916071,-160.3936912840626
13.97544325076584,-0.01621934048838231,-0.7181774647827692,-161.0699053032533
14.33994744180371,-0.01575535290861808,-0.681618256889217,-161.741115224088
14.71395854456524,-0.01607937382637083,-0.6456365854804335,-162.4078635630592
15.09772451606369,-0.01581460442563747,-0.6123943956562587,-163.0683846414873
15.49149978046817,-0.01622457979688809,-0.5787087900921019,-163.723617807316
15.89554539777862,-0.01644399571796401,-0.5478269627633304,-164.3749967077385
16.31012923689983,-0.01602494523494342,-0.5179904306932432,-165.0225165751471
16.73552615322972,-0.01619839899468406,-0.4892191601513748,-165.6631862378442
17.17201817087945,-0.01611137582059746,-0.4617025791785537,-166.2969737892837
17.61989466964603,-0.01610113730025198,-0.4355099568940677,-166.9293604217359
18.07945257686159,-0.01588988836929395,-0.4107723337203276,-167.5571639277098
18.55099656424642,-0.01548609077484744,-0.3866785388541617,-168.1792019444017
19.03483924989622,-0.01575633453373533,-0.3637180956800623,-168.7989678622482
19.53130140553762,-0.01599463646740424,-0.3413320874514691,-169.4126038045331
20.04071216918922,-0.0159193899258918,-0.3204026230179603,-170.0218703872644
20.56340926336922,-0.01585336347619296,-0.3006025254155864,-170.6300186855955
21.09973921899439,-0.01619625856081199,-0.2811695559293507,-171.2340475270399
21.65005760511843,-0.01571144623852172,-0.2632860171705244,-171.8341298200988
22.21472926466272,-0.01561315763244384,-0.24579364096446,-172.4329123735288
22.79412855629502,-0.01570932139363626,-0.2290356661857132,-173.0265625128104
23.38863960261695,-0.01584641271026678,-0.2129192376063991,-173.6197449341989
23.99865654482456,-0.01593102828994233,-0.1976104739826354,-174.2081421164353
24.62458380401096,-0.01618778430220404,-0.1825142239911068,-174.7978030651583
25.26683634928414,-0.01617563939098785,-0.1688713328396411,-175.3857748916028
25.92583997287775,-0.01602781566748262,-0.1560795401333195,-175.9718825091172
26.60203157243745,-0.01604407162250043,-0.1433633694195614,-176.5560516522733
27.29585944066938,-0.01601258092020796,-0.1311966770155432,-177.1423035460147
28.0077835625436,-0.01624439633063145,-0.11962872639894,-177.7231193473206
28.73827592024891,-0.0159443494382909,-0.1087642571922745,-178.3073070786446
29.48782080610142,-0.01609473519904622,-0.09874550950147,-178.8906464447188
30.25691514361437,-0.01564688620266901,-0.08839211233638131,-179.4752336678621
31.04606881694206,-0.01586521627242746,-0.07903424573276457,179.9398237987051
31.85580500891618,-0.0159625339337306,-0.07012246904939548,179.3522865937512
32.68666054789873,-0.0158130948252905,-0.06143614716162691,178.7643619739161
33.53918626368154,-0.01616151814917581,-0.0528046980404183,178.1783288568122
34.4139473526682,-0.01561459851337,-0.04546980445626266,177.5825240343189
35.31152375258072,-0.01601339089600094,-0.0375650842613036,176.9891522695446
